ShowID,Type,Title,Director,Cast,Country,DateAdded,ReleaseYear,Rating,Duration,ListedIn,Description
S00001,TV Show,Night Hidden,Carlos Jackson,"Marie Yang, Michael Jung, Michael Zhang, Ashley Kumar",Japan,2023-03-02,2023,TV-Y,6 Seasons,Documentary,A family's dark secrets are finally revealed.
S00002,Movie,Final Friends,Chen Yang,"Ahmed Jackson, David Watanabe, Sarah Robinson, Juan Smith",United States,2020-04-25,2019,PG-13,88 min,Western,The past comes back to haunt the present.
S00003,TV Show,The Dusk Stranger,Daniel Zhang,"Margaret Nakamura, Matthew Choi, Joshua Lopez, Donald Harris, Susan Walker",United States,2023-03-04,2019,TV-PG,8 Seasons,Sci-Fi Drama,A gripping tale of survival and redemption.
S00004,TV Show,The War Hope,Brian Alves,"Ingrid Meyer, Carlos Kim, Ana Wagner",United States,2020-05-11,2022,TV-Y7,7 Seasons,Fantasy,"When the stakes are high, who can you trust?"
S00005,TV Show,Black Truth,Michael Sousa,"Elizabeth Wang, Nancy Singh, Ashley Moore",Thailand,2022-07-19,2019,TV-Y7,3 Seasons,Action & Adventure,A family's dark secrets are finally revealed.
S00006,TV Show,The Quest Hunt,Matthew Watanabe,"Erik Young, Pierre White, Susan Nakamura, Elizabeth Davis",Mexico,2024-10-09,2018,TV-MA,7 Seasons,Comedy,A detective uncovers a conspiracy that goes deeper than imagined.
S00007,TV Show,Sky Princesses,Maria Sato,"Linda Huang, Juan Miller, Edward Perez, Thomas Alves",India,2020-10-10,2023,TV-G,7 Seasons,Psychological Thriller,"The truth will set you free, or destroy you."
S00008,Movie,The Lost Golden,Lisa Reddy,"Astrid Singh, Edward Schneider, Ashley Reddy",United States,2023-09-02,2023,PG,176 min,Noir,Love and betrayal intertwine in unexpected ways.
S00009,TV Show,The Game Secrets,Kenneth Anderson,"Ana Suzuki, Betty Wang, Sakura Fischer",United States,2020-04-03,2021,TV-G,6 Seasons,Medical Drama,A detective uncovers a conspiracy that goes deeper than imagined.
S00010,TV Show,The Modern Hours,Daniel Fischer,"George Sharma, Wei Yang, Juan Martinez, Omar Costa, Arjun Ito",United States,2022-05-15,2023,TV-Y,2 Seasons,Thriller,Nothing is as it seems in this twisted thriller.
S00011,Movie,The Ancient Strangers,Sarah Sanchez,"Dorothy Jackson, Mark Alves, Sandra Sato, Carlos Silva",United Kingdom,2022-05-14,2020,PG-13,106 min,Mystery,Revenge is a dish best served cold.
